"Agency","Subagency","accountID","Title","Obligation"
"Department of Energy","Energy Programs",2736,"Advanced Technology Vehicle Manufacturing Loan Program-Recovery Act, Energy",0
"Department of Energy","Energy Programs",2695,"Title 17 Innovative Technology Loan Guarantee Program, Energy Programs, Energy",14100499.9
"Department of Energy","Energy Programs",2696,"Title 17-Innovative Technology Loan Guarantee Program-Recovery Act, Energy Programs, Energy",0
"Department of Energy","Energy Programs",2791,"Advances for Cooperative Work, Departmental Operations, Energy",0
"Department of Energy","Power Marketing Administration",2725,"Operation and Maintenance, Alaska Power Administration, Power Marketing Administration, Energy",0
"Department of Energy","Power Marketing Administration",2723,"Operation and Maintenance, Southeastern Power Administration, Power Marketing Administration, Energy",38649878.04
"Department of Energy","Power Marketing Administration",2775,"Continuing Fund, Southeastern Power Administration, Power Marketing Administration, Energy",0
"Department of Energy","Power Marketing Administration",2724,"Operation and Maintenance, Southwestern Power Administration, Power Marketing Administration, Energy",25632834.04
"Department of Energy","Power Marketing Administration",2774,"Continuing Fund, Southwestern Power Administration, Power Marketing Administration, Energy",0
"Department of Energy","Power Marketing Administration",2755,"Construction, Rehabilitation, Operation, and Maintenance, Western Area Power Administration, Power Marketing Administration, Energy",327766541.53
"Department of Energy","Power Marketing Administration",2746,"Western Area Power Administration, Borrowing Authority - Recovery Act, Energy",2569655.03
"Department of Energy","Power Marketing Administration",2756,"Emergency Fund, Western Area Power Administration, Power Marketing Administration, Energy",0
"Department of Energy","Power Marketing Administration",2758,"Falcon and Amistad Operating and Maintenance Fund, Energy",2549090.31
"Department of Energy","Power Marketing Administration",2748,"Colorado River Basins Power Marketing Fund, Western Area Power Administration, Power Marketing Administration, Energy",62768996.61
"Department of Energy","Power Marketing Administration",2744,"Bonneville Power Administration Fund, Power Marketing Administration, Energy",1613910338.6
"Department of Energy","Departmental Administration",2709,"Departmental Administration, Energy Programs, Energy",110765263.96
"Department of Energy","Departmental Administration",2792,"Gifts and Donations, Energy",8500.27
"Department of Energy","Departmental Administration",2742,"Departmental Administration - Recovery Act, Energy Programs, Energy",0
"Department of Energy","Departmental Administration",2713,"Expenses, Office of the Inspector General, Energy Programs, Energy",23882014.64
"Department of Energy","Departmental Administration",2714,"Office of the Inspector General - Recovery Act, Energy Programs, Energy",0
"Department of Energy","Departmental Administration",2751,"Working Capital Fund, Departmental Administration, Energy",70749366.51
"Department of Health and Human Services","Food and Drug Administration",2369,"Salaries and Expenses, Food and Drug Administration",2057027744.44
"Department of Health and Human Services","Food and Drug Administration",2371,"Buildings and Facilities, Food and Drug Administration, Health and Human Services",1178870.85
"Department of Health and Human Services","Food and Drug Administration",2489,"Cooperative Research and Development Agreements, Food and Drug Administration, Health and Human Services",115084.99
"Department of Health and Human Services","Food and Drug Administration",2329,"Payment to the FDA Innovation Account, CURES Act, Food and Drug Administration, Health and Human Services",0
"Department of Health and Human Services","Food and Drug Administration",2476,"Revolving Fund for Certification and Other Services, Food and Drug Administration, Health and Human Services",3809723.75
"Department of Health and Human Services","Health Resources and Services Administration",2337,"Health Resources and Services, Health Resources and Services Administration, Health and Human Services",14289893.91
"Department of Health and Human Services","Health Resources and Services Administration",2348,"Health Centers Malpractice Claims, Health Resources and Services Administration, Health and Human Services",78345494.99
"Department of Health and Human Services","Health Resources and Services Administration",2333,"Free Clinics Malpractice Claims Fund, Health Resources and Service Administration, Health and Human Services",0
"Department of Health and Human Services","Health Resources and Services Administration",2339,"Primary Health Care Access, Health Resources and Services Administration, Health and Human Services",90438616.53
"Department of Health and Human Services","Health Resources and Services Administration",2313,"Community Health Center Fund, Departmental Management, Health and Human Services",0
"Department of Health and Human Services","Health Resources and Services Administration",2340,"Health Workforce, Health Resources and Services Administration, Health and Human Services",139397709.32
"Department of Health and Human Services","Health Resources and Services Administration",2346,"Primary Health Care, Health Resources and Services Administration, Health and Human Services",956094175.16
"Department of Health and Human Services","Health Resources and Services Administration",2341,"Maternal and Child Health, Health Resources and Services Administration, Health and Human Services",303422725.64
"Department of Health and Human Services","Health Resources and Services Administration",2342,"Ryan White HIV/AIDS Program, Health Resources and Services Administration, Health and Human Services",355487866.33
"Department of Health and Human Services","Health Resources and Services Administration",2343,"Health Care Systems, Health Resources and Services Administration, Health and Human Services",11214626
"Department of Health and Human Services","Health Resources and Services Administration",2344,"Rural Health, Health Resources and Services Administration, Health and Human Services",2305513.28
"Department of Health and Human Services","Health Resources and Services Administration",2345,"Family Planning, Health Resources and Services Administration, Health and Human Services",3806859.87
"Department of Health and Human Services","Health Resources and Services Administration",2347,"Program Management, Health Resources and Services Administration, Health and Human Services",74981272.19
"Department of Health and Human Services","Health Resources and Services Administration",2331,"Vaccine Injury Compensation, Health Resources and Services Administration, Health and Human Services",0
"Department of Health and Human Services","Health Resources and Services Administration",2335,"Covered Countermeasure Process Fund, Health Resources and Services Administration, Health and Human Services",538364.28
"Department of Health and Human Services","Health Resources and Services Administration",2332,"Maternal, Infant, and Early Childhood Home Visiting Programs, Health Resources and Services Administration, Health and Human Services",28632831.29
"Department of Health and Human Services","Health Resources and Services Administration",2334,"Health Education Assistance Loans Program Account, Health Resources and Services Administration, Health and Human Services",0
"Department of Health and Human Services","Health Resources and Services Administration",2514,"Vaccine Injury Compensation Trust Fund - Treasury Managed",162035449.59
"Department of Health and Human Services","Indian Health Service",2351,"Indian Health Services, Indian Health Service, Health and Human Services",2650133824.5
"Department of Health and Human Services","Indian Health Service",2471,"Consolidated Working Fund, Health and Human Services, Indian Health Services",0
"Department of Health and Human Services","Indian Health Service",2336,"Contract Support Costs, Indian Health Service, Health and Human Services",333908303.47
"Department of Health and Human Services","Indian Health Service",2352,"Indian Health Facilities, Indian Health Service, Health and Human Services",158212364.49
"Department of Health and Human Services","Indian Health Service",2486,"Operation and Maintenance of Quarters, Indian Health Services, Health and Human Services",3465375.53
"Department of Health and Human Services","Centers for Disease Control and Prevention",2439,"Birth Defects, Developmental Disabilities, Disabilities and Health, Centers for Disease Control and Prevention, Health and Human Services",36765180.65
"Department of Health and Human Services","Centers for Disease Control and Prevention",2426,"CDC-Wide Activities and Program Support, Centers for Disease Control, Health and Human Services",668908365.22
"Department of Health and Human Services","Centers for Disease Control and Prevention",2488,"Cooperative Research and Development Agreements, Centers for Disease Control, Health and Human Services",75455.34
"Department of Health and Human Services","Centers for Disease Control and Prevention",2438,"Public Health Preparedness and Response, Centers for Disease Control and Prevention, Health and Human Services",257191457.33
"Department of Health and Human Services","Centers for Disease Control and Prevention",2437,"Global Health, Centers for Disease Control and Prevention, Health and Human Services",154522350
"Department of Health and Human Services","Centers for Disease Control and Prevention",2436,"Employees Occupational Illness Compensation Program, Centers for Disease Control and Prevention, Health and Human Services",41781940.7
"Department of Health and Human Services","Centers for Disease Control and Prevention",2435,"National Institute of Occupational Safety and Health, Centers for Disease Control and Prevention, Health and Human Services",114638612.76
"Department of Health and Human Services","Centers for Disease Control and Prevention",2434,"Injury Prevention and Control, Centers for Disease Control and Prevention, Health and Human Services",69393875.21
"Department of Health and Human Services","Centers for Disease Control and Prevention",2433,"Immunization and Respiratory Diseases, Centers for Disease Control and Prevention, Health and Human Services",459521027.66
"Department of Health and Human Services","Centers for Disease Control and Prevention",2432,"HIV/AIDS, Viral Hepatitis, Sexually Transmitted Diseases, and Tuberculosis Prevention, Centers for Disease Control and Prevention, Health and Human Services",425204507.25
"Department of Health and Human Services","Centers for Disease Control and Prevention",2431,"Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention, Health and Human Services",188978777.97
"Department of Health and Human Services","Centers for Disease Control and Prevention",2430,"Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention, Health and Human Services",187285176.28
"Department of Health and Human Services","Centers for Disease Control and Prevention",2429,"Environmental Health, Centers for Disease Control and Prevention, Health and Human Services",48903948.41
"Department of Health and Human Services","Centers for Disease Control and Prevention",2440,"Public Health Scientific Services, Centers for Disease Control and Prevention, Health and Human Services",181453981.5
"Department of Health and Human Services","Centers for Disease Control and Prevention",2441,"Buildings and Facilities, Centers for Disease Control and Prevention, Health and Human Services",378479.26
"Department of Health and Human Services","Centers for Disease Control and Prevention",2484,"CDC Working Capital Fund, Centers for Disease Control and Prevention, Health and Human Services",248527055
"Department of Health and Human Services","Centers for Disease Control and Prevention",2427,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry, Health and Human Services",37206007.01
"Department of Health and Human Services","Centers for Disease Control and Prevention",2428,"World Trade Center Health Program Fund, Centers for Disease Control and Prevention, Health and Human Services",157089901.57
"Department of Health and Human Services","National Institutes of Health",2372,"National Library of Medicine, National Institutes of Health, Health and Human Services",155351405.8
"Department of Health and Human Services","National Institutes of Health",2375,"John E. Fogarty International Center, National Institutes of Health, Health and Human Services",21850904.37
"Department of Health and Human Services","National Institutes of Health",2376,"Buildings and Facilities, National Institutes of Health, Health and Human Services",49030205.72
"Department of Health and Human Services","National Institutes of Health",2380,"National Institute on Aging, National Institutes of Health, Health and Human Services",402997705.55
"Department of Health and Human Services","National Institutes of Health",2381,"National Institute of Child Health and Human Development, National Institutes of Health, Health and Human Services",448854094.14
"Department of Health and Human Services","National Institutes of Health",2383,"Office of the Director, National Institutes of Health, Health and Human Services",303477202.41
"Department of Health and Human Services","National Institutes of Health",2386,"National Cancer Institute, National Institutes of Health, Health and Human Services",1740279771.01
"Department of Health and Human Services","National Institutes of Health",2388,"National Institute of General Medical Sciences, National Institutes of Health, Health and Human Services",650434039.5
"Department of Health and Human Services","National Institutes of Health",2390,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",280119824.25
"Department of Health and Human Services","National Institutes of Health",2393,"National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services",1208106443.68
"Department of Health and Human Services","National Institutes of Health",2394,"National Institute of Dental and Craniofacial Research, National Institutes of Health, Health and Human Services",145755178.13
"Department of Health and Human Services","National Institutes of Health",2398,"National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Health and Human Services",552676260.38
"Department of Health and Human Services","National Institutes of Health",2399,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",2245441455.48
"Department of Health and Human Services","National Institutes of Health",2400,"National Institute of Neurological Disorders and Stroke, National Institutes of Health, Health and Human Services",526902120.75
"Department of Health and Human Services","National Institutes of Health",2401,"National Eye Institute, National Institutes of Health, Health and Human Services",283361647.79
"Department of Health and Human Services","National Institutes of Health",2402,"National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health, Health and Human Services",154155995.5
"Department of Health and Human Services","National Institutes of Health",2403,"National Institute of Nursing Research, National Institutes of Health",46081257.86
"Department of Health and Human Services","National Institutes of Health",2404,"National Institute on Deafness and Other Communication Disorders, National Institutes of Health, Health and Human Services",184316038.05
"Department of Health and Human Services","National Institutes of Health",2405,"National Human Genome Research Institute, National Institutes of Health, Health and Human Services",191074407.46
"Department of Health and Human Services","National Institutes of Health",2406,"National Institute of Mental Health, National Institutes of Health, Health and Human Services",507657613.72
"Department of Health and Human Services","National Institutes of Health",2407,"National Institute on Drug Abuse, National Institutes of Health, Health and Human Services",444453468.7
"Department of Health and Human Services","National Institutes of Health",2408,"National Institute on Alcohol Abuse and Alcoholism, National Institutes of Health, Health and Human Services",143837062.5
"Department of Health and Human Services","National Institutes of Health",2487,"Cooperative Research and Development Agreements, National Institutes of Health, Health and Human Services",4945040.93
"Department of Health and Human Services","National Institutes of Health",2473,"Management Fund, National Institutes of Health",343937172.44
"Department of Health and Human Services","National Institutes of Health",2485,"Service and Supply Fund, National Institutes of Health, Health and Human Services",807961954.34
"Department of Health and Human Services","National Institutes of Health",2409,"National Center for Complementary and Integrative Health, National Institute of Health, Health and Human Services",32372907.51
"Department of Health and Human Services","National Institutes of Health",2410,"National Center on Minority Health and Health Disparities, National Institutes of Health, Health and Human Services",88141913.72
"Department of Health and Human Services","National Institutes of Health",2411,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",93285059.47
"Department of Health and Human Services","National Institutes of Health",2396,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",82225512.17
"Department of Health and Human Services","National Institutes of Health",2328,"Payment to the NIH Innovation Account, CURES Act, National Institutes of Health, Health and Human Services",0
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2445,"Health Surveillance and Program Support, Substance Abuse and Mental Health Services Administration, Health and Human Services",47665402.51
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2446,"Mental Health, Substance Abuse and Mental Health Services Administration, Health and Human Services",290408605.61
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2448,"Substance Abuse Prevention, Substance Abuse and Mental Health Administration, Health and Human Services",11694376.19
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",2447,"Substance Abuse Treatment, Substance Abuse and Mental Health Administration, Health and Human Services",591639895.09
"Department of Health and Human Services","Agency for Healthcare Research and Quality",2467,"Healthcare Research and Quality, Agency for Healthcare Research and Quality, Health and Human Services",111012954.25
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2358,"Grants to States for Medicaid, Centers for Medicare and Medicaid Services, Health and Human Services",230252454145.15
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2362,"Grants to States for Medicaid - Recovery Act, Centers for Medicare and Medicaid Services, Health and Human Services",2286249.62
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2361,"State Grants and Demonstrations, Centers for Medicare and Medicaid Services",32846490.22
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2367,"Payments to Health Care Trust Funds, Centers for Medicare and Medicaid Services, Health and Human Services",158250594046.97
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2359,"Payments for Credits Against Health Care Contributions, Centers for Medicare and Medicaid Services, Health and Human Services",2025.02
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2368,"Taxation on OASDI Benefits, HI, Centers for Medicare and Medicaid Services, Health and Human Services",4916000000
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2469,"Payments to Federal Hospital Insurance Trust Fund, Health Care Fraud and Abuse, Health and Human Services",28159292.25
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2363,"Quality Improvements Organizations, Centers for Medicare and Medicaid, Health and Human Services",131698226.03
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2357,"Program Management, Centers for Medicare and Medicaid Services, Health and Human Services",2353441216.4
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2356,"Program Management - Recovery Act, Centers for Medicare and Medicaid Services, Health and Human Services",34755145.33
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2302,"Health Insurance Consumer Information, Office of the Secretary, Health and Human Services",0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2355,"Patient Protection and Affordable Care - Program Management, Centers for Medicare and Medicaid, Health and Human Services",7861030.73
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2360,"State Children's Health Insurance Fund, Centers for Medicare and Medicaid Services, Health and Human Services",13104979069.08
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2365,"Centers for Medicare and Medicaid Innovation, Centers for Medicare and Medicaid, Health and Human Services",413285436.94
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2491,"Child Enrollment Contingency Fund, Centers for Medicare and Medicaid Services, Health and Human Services",0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2354,"Medicare Health Information Technology Incentive Payments - Recovery Act, Centers for Medicare and Medicaid Services, Health and Human Services",1153054558.42
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2303,"Rate Review Grants, Office of the Secretary, Health and Human Services",25547052.53
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2304,"Pre-Existing Condition Insurance Plan Program, Office of the Secretary, Health and Human Services",64943678.79
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2305,"Early Retiree Reinsurance Program, Office of the Secretary, Health and Human Services",0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2306,"Affordable Insurance Exchange Grants, Centers for Medicare and Medicaid Services, Health and Human Services",3033801.66
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2495,"Risk Adjustment Program Payments, Centers for Medicare and Medicaid Services, Health and Human Services",354605356.3
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2496,"Transitional Reinsurance Program, Centers for Medicare and Medicaid Services, Health and Human Services",4617876838.81
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2366,"Consumer Operated Oriented Plan Program Contingency Fund, Centers for Medicare and Medicaid Services, Health and Human Services",789376
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2309,"Consumer Operated and Oriented Plan Program Account, Centers for Medicare and Medicaid Services, Health and Human Services",0
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2511,"Federal Hospital Insurance Trust Fund - Treasury Managed, Health and Human Services",147320072911.28
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2523,"Health Care Fraud and Abuse Control Account, Health and Human Services",939888167.84
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2510,"Federal Supplementary Medical Insurance Trust Fund-Treasury Managed, Health and Human Services",152784245907.79
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",2522,"Medicare Prescription Drug Account, Centers for Medicare and Medicaid Services, Health and Human Services",42615955949.78
"Department of Health and Human Services","Administration for Children and Families",2464,"Temporary Assistance for Needy Families, Administration for Children and Families, Health and Human Services",8450082599.81
"Department of Health and Human Services","Administration for Children and Families",2456,"Contingency Fund for State Welfare Programs, Administration for Children and Families, Health and Human Services",574445328
"Department of Health and Human Services","Administration for Children and Families",2457,"Emergency Contingency Fund for State Temporary Assistance for Needy Family Programs - Recovery Act, Administration for Children and Families, Health and Human Services",0
"Department of Health and Human Services","Administration for Children and Families",2449,"Payments to States for Child Support Enforcement and Family Support Programs, Administration for Children and Families, Health and Human Services",1965308448.69
"Department of Health and Human Services","Administration for Children and Families",2450,"Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services",3009699350.11
"Department of Health and Human Services","Administration for Children and Families",2451,"Refugee and Entrant Assistance, Administration for Children and Families, Health and Human Services",1208617326.49
"Department of Health and Human Services","Administration for Children and Families",2453,"Promoting Safe and Stable Families, Administration for Children and Families, Health and Human Services",272824311.35
"Department of Health and Human Services","Administration for Children and Families",2463,"Child Care Entitlement to States, Administration for Children and Families, Health and Human Services",1677192878.84
"Department of Health and Human Services","Administration for Children and Families",2454,"Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services",1553046716.46
"Department of Health and Human Services","Administration for Children and Families",2458,"Social Services Block Grant, Administration for Children and Families, Health and Human Services",919579755.87
"Department of Health and Human Services","Administration for Children and Families",2459,"Children and Families Services Programs, Administration for Children and Families, Health and Human Services",4392852279.07
"Department of Health and Human Services","Administration for Children and Families",2465,"Children's Research and Technical Assistance, Administration for Children and Families, Health and Human Services",16640129.46
"Department of Health and Human Services","Administration for Children and Families",2461,"Payments for Foster Care and Permanency, Administration for Children and Families, Health and Human Services",3986748970.16
"Department of Health and Human Services","Administration for Community Living",2323,"Aging and Disability Services Programs, Administration for Community Living, Health and Human Services",906107747.27
"Department of Health and Human Services","Departmental Management",2311,"General Departmental Management, Departmental Management, Health and Human Services",185235984.46
"Department of Health and Human Services","Departmental Management",2327,"Payment to the State Response to the Opioid Abuse Crisis Account, CURES Act, Departmental Administration, Health and Human Services",0
"Department of Health and Human Services","Departmental Management",2319,"Office for Civil Rights, Departmental Management, Health and Human Services",17126302.61
"Department of Health and Human Services","Departmental Management",2317,"Office of the National Coordinator for Health Information Technology, Departmental Management, Health and Human Services",21259176.19
"Department of Health and Human Services","Departmental Management",2318,"Office of the National Coordinator for Health Information Technology - Recovery Act, Office of the Secretary, Health and Human Services",0
"Department of Health and Human Services","Departmental Management",2320,"Medicare Appeals, Departmental Management, Health and Human Services",45598123.9
"Department of Health and Human Services","Departmental Management",2321,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",632180322.76
"Department of Health and Human Services","Departmental Management",2326,"Transfers from the Patient-Centered Outcome Research Trust Fund, Departmental Management, Health and Human Services",26889780.36
"Department of Health and Human Services","Departmental Management",2314,"Nonrecurring Expense Fund, Office of the Secretary, Health and Human Services",59033079.78
"Department of Health and Human Services","Departmental Management",2310,"Health Insurance Reform Implementation Fund, Departmental Management, Health and Human Services",3338.89
"Department of Health and Human Services","Departmental Management",2307,"Prevention and Public Health Fund, Departmental Management, Health and Human Services",0
"Department of Health and Human Services","Departmental Management",2308,"Pregnancy Assistance Fund, Departmental Management, Health and Human Services",271809.98
"Department of Health and Human Services","Departmental Management",2470,"Section 241 Transactions Account, Office of the Secretary, Health and Human Services",200000005.3
"Department of Health and Human Services","Program Support Center",2349,"Retirement Pay and Medical Benefits for Commissioned Officers, Office of the Assistant Secretary for Health, Health and Human Services",285251857.83
"Department of Health and Human Services","Program Support Center",2330,"HHS Accrual Contribution to the Uniformed Services Retiree Health Care Fund, Office of the Assistant Secretary for Health, Health and Human Services",27873208
"Department of Health and Human Services","Program Support Center",2442,"Scientific Activities Overseas, Special Foreign Currency Program, Assistant Secretary for Health, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2443,"Public Health Emergency Fund, Public Health Services, Office of Assistant Secretary for Health, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2483,"HHS Service and Supply Fund, Program Support Center, Health and Human Services",672265043.3
"Department of Health and Human Services","Program Support Center",2512,"Contributions, Indian Health Facilities, Indian Health Services, Health and Human Services",6711119.67
"Department of Health and Human Services","Program Support Center",2515,"Food and Drug Administration Unconditional Gift Fund",0
"Department of Health and Human Services","Program Support Center",2516,"National Institutes of Health Unconditional Gift Fund, Health and Human Services",611971.34
"Department of Health and Human Services","Program Support Center",2517,"Unconditional Gift Fund, Health Resources and Services Administration, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2518,"Gifts and Donations, Centers for Disease Control, Health and Human Services",9648713.13
"Department of Health and Human Services","Program Support Center",2519,"National Institutes of Health Conditional Gift Fund, Health and Human Services",14666016.56
"Department of Health and Human Services","Program Support Center",2520,"Conditional Gift Fund, Health Resources and Services Administration, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2529,"Patients' Benefit Fund, National Institutes of Health, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2530,"Patients' Benefit Fund, Health Resources and Services Administration, Health and Human Services",550
"Department of Health and Human Services","Program Support Center",2524,"Administration on Aging Gift Fund, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2525,"Indian Health Service Gift Fund, Health and Human Services",31920.87
"Department of Health and Human Services","Program Support Center",2526,"Agency for Healthcare Research and Quality Gift Fund, Health and Human Services",907456.54
"Department of Health and Human Services","Program Support Center",2527,"Substance Abuse and Mental Health Administration Gift Fund, Health and Human Services",0
"Department of Health and Human Services","Program Support Center",2528,"Office of the Secretary Gift Fund, Health and Human Services",0
"Department of Health and Human Services","Office of the Inspector General",2315,"Office of the Inspector General, Office of the Secretary, Health and Human Services",181160523.66
"Department of Health and Human Services","Office of the Inspector General",2316,"Office of Inspector General - Recovery Act, Office of the Secretary, Health and Human Services",0
"Department of Homeland Security","Office of the Secretary and Executive Management",2053,"Office of the Secretary and Executive Management, Operations and Support, Departmental Management and Operations, Homeland Security",67164892.68
"Department of Homeland Security","Office of the Secretary and Executive Management",2054,"Counterterrorism Fund, Departmental Management and Operations, Homeland Security",0
"Department of Homeland Security","Office of the Secretary and Executive Management",2056,"Office of the Secretary and Executive Management, Departmental Management and Operations, Homeland Security",3982843.72
"Department of Homeland Security","Office of the Secretary and Executive Management",2199,"Gifts and Donations, Department Management, Homeland Security",0
"Department of Homeland Security","Office of the Under Secretary for Management",2058,"Office of the Under Secretary for Management, Operations and Support, Departmental Management and Operations, Homeland Security",281460457.45
"Department of Homeland Security","Office of the Under Secretary for Management",2057,"Office of the Under Secretary for Management, Departmental Management and Operations, Homeland Security",8247516.26
"Department of Homeland Security","Office of the Under Secretary for Management",2055,"Department-Wide Technology Investments, Departmental Management, Homeland Security",2497840.43
"Department of Homeland Security","Office of the Under Secretary for Management",2059,"Office of the Chief Information Officer, Departmental Management and Operations, Homeland Security",9716945.07
"Department of Homeland Security","Office of the Under Secretary for Management",2072,"Procurement, Construction, and Improvements, Departmental Management and Operations, Homeland Security",7543134.57
"Department of Homeland Security","Office of the Under Secretary for Management",2141,"Research and Development, Departmental Management and Operations, Homeland Security",10000
"Department of Homeland Security","Office of the Under Secretary for Management",2155,"Working Capital Fund Departmental Management, Homeland Security",209640781.79
"Department of Homeland Security","Analysis and Operations",2060,"Analysis and Operations, Operations and Support, Departmental Management and Operations, Homeland Security",102092773.08
"Department of Homeland Security","Office of the Inspector General",2064,"Operations and Support, Office of Inspector General, Homeland Security",85693562.64
"Department of Homeland Security","Office of the Inspector General",2065,"Office of Inspector General - Recovery Act, Homeland Security",0
"Department of Homeland Security","U.S. Customs and Border Protection",2089,"Operations and Support, U.S. Customs and Border Protection, Homeland Security",6113009608.58
"Department of Homeland Security","U.S. Customs and Border Protection",2081,"Customs and Border Protection, USCS, Homeland Security",400701.31
"Department of Homeland Security","U.S. Customs and Border Protection",2178,"Customs and Border Protection Services at User Fee Facilities, U.S. Customs and Border Protection, Homeland Security",11466100.15
"Department of Homeland Security","U.S. Customs and Border Protection",2158,"Customs and Border Protection, Immigration User Fees, Border and Transportation Security, Homeland Security",235827444.46
"Department of Homeland Security","U.S. Customs and Border Protection",2160,"Customs and Border Protection, Land Border Inspection Fees, Border and Transportation Security, Homeland Security",23311753
"Department of Homeland Security","U.S. Customs and Border Protection",2169,"Immigration Enforcement Account, Border and Transportation Security, Homeland Security",1492554.94
"Department of Homeland Security","U.S. Customs and Border Protection",2179,"Customs and Border Protection, Customs User Fees Account, USCS, Homeland Security",320438650.11
"Department of Homeland Security","U.S. Customs and Border Protection",2205,"Customs and Border Protection, Violent Crime Reduction Trust Fund, USCS, Homeland Security",0
"Department of Homeland Security","U.S. Customs and Border Protection",2092,"Border Security Fencing, Infrastructure, and Technology, U.S. Customs and Border Protection, Homeland Security",77561503.73
"Department of Homeland Security","U.S. Customs and Border Protection",2090,"Automation Modernization, U.S. Customs and Border Protection, Homeland Security",16703507.66
"Department of Homeland Security","U.S. Customs and Border Protection",2091,"Procurement, Construction, and Improvements, U.S. Customs and Border Protection, Homeland Security",52449819.38
"Department of Homeland Security","U.S. Customs and Border Protection",2100,"Air and Marine Operations, U.S. Customs and Border Protection, Homeland Security",21003737.25
"Department of Homeland Security","U.S. Customs and Border Protection",2156,"Advanced Training Center Revolving Fund, U.S. Customs and Border Protection, Homeland Security",0
"Department of Homeland Security","U.S. Customs and Border Protection",2153,"Enhanced Inspectional Services, U.S. Customs and Border Protection, Homeland Security",4856402.05
"Department of Homeland Security","U.S. Customs and Border Protection",2177,"Customs and Border Protection, Transfer and Expenses of Operation, Puerto Rico, USCS, Homeland Security",30041999.17
"Department of Homeland Security","U.S. Customs and Border Protection",2170,"Payments to Wool Manufacturers, United States Customs and Border Protection, Homeland Security",0
"Department of Homeland Security","U.S. Customs and Border Protection",2172,"International Registered Traveler Program Fund, U.S. Customs and Border Protection, Homeland Security",39512420.52
"Department of Homeland Security","U.S. Customs and Border Protection",2175,"Electronic System for Travel Authorization, U.S. Customs and Border Protection, Homeland Security",12935196.34
"Department of Homeland Security","U.S. Customs and Border Protection",2174,"APEC Business Travel Card Account, Customs and Border Protection, Homeland Security",0
"Department of Homeland Security","U.S. Customs and Border Protection",2181,"9-11 Response and Biometric Exit Account, U.S. Customs and Border Protection, Homeland Security",3329379.08
"Department of Homeland Security","U.S. Customs and Border Protection",2209,"Refunds, Transfers and Expenses, Abandoned and Seized Goods, USCS, Homeland Security",765809.73
