ASPRequiredOptionalDerived,BusinessLine,DataElementLabel,Definition,Definition,ElementNumber,ElementOrder,ExampleValue,FAADS+ElementNumber,FPDSDefinition,FPDSElementLabel,FPDSElementNumber,FSRSElementName,Grouping,Instructions,MaxFieldLength,RequiredOptional,SAMElementName(ReferenceSAMDataDictionaryv7),Unnamed:12,Unnamed:13,ValidDataType,ValidationRules,file,DataCategory
,,ObligationsDeliveredOrdersUnpaidTotal_FYB,Fiscal Year Beg,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",53(A)(ii)_FYB,22,-4500,,,,,,,The total outstanding balance of Obligations for delivered orders that are not yet paid at Fiscal Year Beginning.,21,Required,,,,numeric,"A16, B4",File B - Object Class and Program Activity,Award Characteristic Information
,,ObligationsDeliveredOrdersUnpaidTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",53(A)(ii)_CPE,23,-4500,,,,,,,The total outstanding balance of Obligations for delivered orders that are not yet paid at Current Period End.,21,Required,,,,numeric,B4,File B - Object Class and Program Activity,Award Characteristic Information
,,USSGL480200_UndeliveredOrdersObligationsPrepaidAdvanced_FYB,Fiscal Year Beg,"The amount of cash refunds during the current fiscal year resulting from downward adjustments to obligations that were originally recorded in a prior fiscal year in USSGL account 480200, 'Undelivered Orders - Obligations, Prepaid/Advanced.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(i)(a)_FYB,24,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Fiscal Year Beginning.",21,Required,,,,numeric,"A16, B6",File B - Object Class and Program Activity,Award Characteristic Information
,,USSGL480200_UndeliveredOrdersObligationsPrepaidAdvanced_CPE,Current Period End,"The amount of cash refunds during the current fiscal year resulting from downward adjustments to obligations that were originally recorded in a prior fiscal year in USSGL account 480200, 'Undelivered Orders - Obligations, Prepaid/Advanced.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(i)(a)_CPE,25,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B6,File B - Object Class and Program Activity,Award Characteristic Information
,,USSGL483200_UndeliveredOrdersObligationsTransferredPrepaidAdvanced_CPE,Current Period End,"The amount of goods and/or services ordered and obligated in one Treasury Appropriation Fund Symbol (TAFS) and transferred to or from another TAFS, which have not been actually or constructively received but have been prepaid or advanced at the time of transfer. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. Although the normal balance for this account is credit, it is acceptable for this account to have a debit balance.(Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(i)(b)_CPE,26,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B6,File B - Object Class and Program Activity,Award Characteristic Information
,,USSGL488200_UpwardAdjustmentsOfPriorYearUndeliveredOrdersObligationsPrepaidAdvanced_CPE,Current Period End,"The amount of upward adjustments during the current fiscal year to obligations that were originally recorded in a prior fiscal year in USSGL account 480200,'Undelivered Orders - Obligations, Prepaid/Advanced.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(i)(d)_CPE,27,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B6,File B - Object Class and Program Activity,Award Characteristic Information
,,GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB,Fiscal Year Beg,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(A)(i)_FYB,28,-4500,,,,,,,The total outstanding balance of Outlays for undelivered orders that are prepaid. This is the total for the TAS / Program Activity / Object Class at Fiscal Year Beginning.,21,Required,,,,numeric,"A16, B5, B6",File B - Object Class and Program Activity,Award Characteristic Information
,,GrossOutlaysUndeliveredOrdersPrepaidTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(A)(i)_CPE,29,-4500,,,,,,,The total outstanding balance of Outlays for undelivered orders that are prepaid. This is the total for the TAS / Program Activity / Object Class at Current Period End.,21,Required,,,,numeric,"B5, B6, A18",File B - Object Class and Program Activity,Award Characteristic Information
,,USSGL490200_DeliveredOrdersObligationsPaid_CPE,Current Period End,"The amount paid/outlayed for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(ii)(a)_CPE,30,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B7,File B - Object Class and Program Activity,Award Characteristic Information
,,USSGL490800_AuthorityOutlayedNotYetDisbursed_FYB,Fiscal Year Beg,"The amount of authority outlayed but not yet disbursed. Use only in specific circumstances, such as for interest on certain Bureau of the Fiscal Service securities. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(ii)(b)_FYB,31,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Fiscal Year Beginning.",21,Required,,,,numeric,"A16, B7",File B - Object Class and Program Activity,Award Characteristic Information
,,USSGL490800_AuthorityOutlayedNotYetDisbursed_CPE,Current Period End,"The amount of authority outlayed but not yet disbursed. Use only in specific circumstances, such as for interest on certain Bureau of the Fiscal Service securities. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(ii)(b)_CPE,32,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B7,File B - Object Class and Program Activity,Award Characteristic Information
,,USSGL498200_UpwardAdjustmentsOfPriorYearDeliveredOrdersObligationsPaid_CPE,Current Period End,"The amount of upward adjustments that were originally recorded in a prior fiscal year paid/outlayed during the fiscal year to USSGL account 490100, 'Delivered Orders - Obligations, Unpaid,' or USSGL account 490200, 'Delivered Orders - Obligations, Paid.' (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",57(A)(ii)(d)_CPE,33,-4500,,,,,,,"Value is the aggregated total at the TAS / Program Activity / Object Class level, as of the Current Period End.",21,Required,,,,numeric,B7,File B - Object Class and Program Activity,Award Characteristic Information
,,GrossOutlaysDeliveredOrdersPaidTotal_FYB,Fiscal Year Beg,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(A)(ii)_FYB,34,-4500,,,,,,,The total outstanding balance of Outlays for delivered orders that are paid. This is the total for the TAS / Program Activity / Object Class at Current Period End.,21,Required,,,,numeric,"A16, B5, B7",File B - Object Class and Program Activity,Award Characteristic Information
,,GrossOutlaysDeliveredOrdersPaidTotal_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(A)(ii)_CPE,35,-4500,,,,,,,The total outstanding balance of Outlays for delivered orders that are paid. This is the total for the TAS / Program Activity / Object Class at Current Period End.,21,Required,,,,numeric,"B5, B7",File B - Object Class and Program Activity,Award Characteristic Information
,,GrossOutlayAmountByProgramObjectClass_FYB,Fiscal Year Beg,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(A)_FYB,36,-4500,,,,,,,"Crosswalks to SF-133 line 3020, Gross Outlays, at the Program Activity/Object Class level. This is as of Fiscal Year Beginning. ",21,Required,,,,numeric,"A16, B5",File B - Object Class and Program Activity,Award Characteristic Information
,,GrossOutlayAmountByProgramObjectClass_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are 'means of financing' transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",57(A)_CPE,37,-4500,,,,,,,"Crosswalks to SF-133 line 3020, Gross Outlays, at the Program Activity/Object Class level. This is as of Current Period End. ",21,Required,,,,numeric,B5,File B - Object Class and Program Activity,Award Characteristic Information
,,PIID,Report date,The unique identifier of the specific award being reported.,34(A),8,,,,,,,,This element may contain a PIID that is or is not compliant to the FAR 4.16 2017 rules. This is used for linking to contracts with legacy PIID format.,50,Conditional per Award Type,,,,string,"C11, C12",File C - Award Financial,Award Characteristic Information
,,ParentAwardId,Report date,The identifier of the procurement award under which the specific award is issued (such as a Federal Supply Schedule). Term currently applies to procurement actions only,24,9,,,,,,,,This element may contain a PIID that is or is not compliant to the FAR 4.16 2017 rules. This is used for linking to contracts with legacy PIID format.,50,Conditional per Award Type,,,,string,"C11, C12",File C - Award Financial,Award Characteristic Information
,,FAIN,Report date,The Federal Award Identification Number (FAIN) is the unique ID within the Federal agency for each financial assistance award.,34(B),10,123456798,,,,,,,"Once an agency assigns a FAIN and reports it to USAspending.gov, the Federal agency may not- with limited exceptions ­ modify the FAIN during the life of the award. Further, once a Federal agency assigns a FAIN, that Federal agency must ensure that the FAIN is clearly identified in all Federal award documents. As a term and condition of the award, Federal agencies must require that all recipients document the assigned FAIN on each subaward under the Federal award. This is used to establish the linkage for Financial Assistance data.",30,Conditional per Validation Rule,,,,string,"C8, C9, C14",File C - Award Financial,Award Characteristic Information
,,URI,Report date,An agency defined identifier that is unique for every reported action.,34(C),11,12-34-56-78-90-AS-DF-AB-XZ-YW,,,,,,,This is required only when the combination of FAIN and Mod is not unique. Field must contain a unique value except when the Correction/Late Indicator contains the code 'D' or 'C'. This field must be non-blank for aggregate records. This is used to establish the linkage for Financial Assistance data.,70,Conditional per Validation Rule,,,,string,"C8, C9, C14",File C - Award Financial,Award Characteristic Information
,,NAICS,,The identifier that represents the North American Industrial Classification System (NAICS) Code assigned to the solicitation and resulting award identifying the industry in which the contract requirements are normally performed.,17,10,,,"The North American Industry Classification System (NAICS) codes descriptionignate major sectors of the economies of Mexico, Canada, and the United States. ",NAICS,8G,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,NAICS_Description,,The title associated with the NAICS code,18,11,,,,(FPDS Atom Feed XML tag name) principalNAICSCode.@description,N/A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,AwardDescription,,A brief description of the purpose of the award.,22,15,,,A brief description of the purpose of the award.,Description of Requirement,6M,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,AwardModificationAmendmentNumber,,"The identifier of an action being reported that indicates the specific subsequent change to the initial award.
",23,7,,,"An identifier issued by an agency that uniquely identifies one modification for one contract, agreement, order, etc.",Modification Number,1B,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,ParentAwardId,,The identifier of the procurement award under which the specific award is issued (such as a Federal Supply Schedule). Term currently applies to procurement actions only,24,6,,,"When reporting orders under Indefinite Delivery Vehicles (IDV) such as a GWAC, IDC, FSS, BOA, or BPA, report the Procurement Instrument Identifier (Contract Number or Agreement Number) of the IDV. For the initial load of a BPA under a FSS, this is the FSS contract number. Note: BOAs and BPAs are with industry and not with other Federal Agencies.",Referenced PIID,1C,,,,,Extracted,,,,,C12,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,ActionDate,,The date the action being reported was issued / signed by the Government or a binding agreement was reached.,25,32,,,"The date that a mutually binding agreement was reached. The date signed by the Contracting Officer or the Contractor, whichever is later. ",Date Signed,2A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,PeriodOfPerformanceStartDate,,"The date on which, for the award referred to by the action being reported, awardee effort begins or the award is otherwise effective.",26,28,,,The date that the parties agree will be the starting date for the contract's requirements. The Effective Date cannot be earlier than the Signed Date on the base document.,Effective Date,2B,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,PeriodOfPerformanceCurrentEndDate,,"The current date on which, for the award referred to by the action being reported, awardee effort completes or the award is otherwise ended. Administrative actions related to this award may continue to occur after this date. This date does not apply to procurement indefinite delivery vehicles under which definitive orders may be awarded.",27,29,,,The completion date of the base contract plus options that have been exercised.,Current Completion Date,2C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,PeriodOfPerformancePotentialEndDate,,"For procurement, the date on which, for the award referred to by the action being reported if all potential pre-determined or pre-negotiated options were exercised, awardee effort is completed or the award is otherwise ended. Administrative actions related to this award may continue to occur after this date. This date does not apply to procurement indefinite delivery vehicles under which definitive orders may be awarded.",28,30,,,The estimated or scheduled completion date including the base contract or order and all options (if any) whether the options have been exercised or not.,Ultimate Completion Date,2D,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,OrderingPeriodEndDate,,"For procurement, the date on which, for the award referred to by the action being reported, no additional orders referring to it may be placed. This date applies only to procurement indefinite delivery vehicles (such as indefinite delivery contracts or blanket purchase agreements). Administrative actions related to this award may continue to occur after this date. The period of performance end dates for procurement orders issued under the indefinite delivery vehicle may extend beyond this date.",29,31,,,Last date on which an order may be placed against this indefinite delivery vehicle.,Indefinite Delivery Vehicle Last Date to Order,2E,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,PrimaryPlaceOfPerformanceCongressionalDistrict,,U.S. Congressional district where the predominant performance of the award will be accomplished.,31,17,,,"For U.S. Place of Performance, indicates the Congressional District if it can be determined. Otherwise, indicates that multiple districts may be involved.",Congressional District - Place of Performance,9G,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,PrimaryPlaceOfPerformanceCountryCode,,"This is the location of the principal plant or place of business where the items will be produced, supplied from stock, or where the service will be performed.",32,48,,,"This is the location of the principal plant or place of business where the items will be produced, supplied from stock, or where the service will be performed.",Principal Place of Performance,9C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,TypeOfContractPricing,,The type of contract as defined in FAR Part 16 that applies to this procurement.,16(A),8,,,The type of contract as defined in FAR Part 16 that applies to this procurement.,Type Of Contract,6A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,IDV_Type,,"The type of Indefinite Delivery Vehicle being (IDV) loaded by this transaction. IDV Types include Government-Wide Acquisition Contract (GWAC), Multi-Agency Contract, Other Indefinite Delivery Contract (IDC), Federal Supply Schedule (FSS), Basic Ordering Agreement (BOA), and Blanket Purchase Agreements (BPA).",16(B),49,,,"The type of Indefinite Delivery Vehicle being (IDV) loaded by this transaction. IDV Types include Government-Wide Acquisition Contract (GWAC), Multi-Agency Contract, Other Indefinite Delivery Contract (IDC), Federal Supply Schedule (FSS), Basic Ordering Agreement (BOA), and Blanket Purchase Agreements (BPA).",IDV Type,12A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,ContractAwardType,,"The type of award being entered by this transaction. Types of awards include Purchase Orders (PO), Delivery Orders (DO), Blanket Purchase Agreements (BPA ) Calls and Definitive Contracts.",16(C),9,,,"The type of award being entered by this transaction. Types of awards include
Purchase Orders (PO), Delivery Orders (DO), BPA Calls and Definitive Contracts.",Award Type,12B,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,PrimaryPlaceOfPerformanceStateCode,,"This is the location of the principal plant or place of business where the items will be produced, supplied from stock, or where the service will be performed.",30(B),47,,,"This is the location of the principal plant or place of business where the items will be produced, supplied from stock, or where the service will be performed.",Principal Place of Performance,9C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,PrimaryPlaceOfPerformanceLocationCode,,"This is the location of the principal plant or place of business where the items will be produced, supplied from stock, or where the service will be performed.",30(E),46,,,"This is the location of the principal plant or place of business where the items will be produced, supplied from stock, or where the service will be performed.",Principal Place of Performance,9C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,PrimaryPlaceOfPerformanceZIP+4,,"United States ZIP code (five digits) concatenated with the additional +4 digits, identifying where the predominant performance of the award will be accomplished.",30(F)(ii),16,,,"For U.S. Place of Performance: indicates the ZIP Code. If the Place of Performance is U.S, enter ZIP+4 code. Otherwise, enter the postal code available",Zip Code - Place of Performance,9K,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,PIID,,The unique identifier of the specific award being reported.,34(A),1,,,"The unique identifier for each contract, agreement or order.",Procurement Instrument Identifier,1A,,,,,Extracted,,,,,C12,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,ActionType,,Description (and corresponding code) that provides information on any changes made to the Federal prime award. There are typically multiple actions for each award.,36(B),33,,,The type of modification to an award or IDV performed by this transaction.,Reason for Modification,12C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,ActionType,,Description (and corresponding code) that provides information on any changes made to the Federal prime award. There are typically multiple actions for each award.,36(A),1,A,11,,,,,,"Element value must be a valid enumeration. This is listed in the 'Domain_Values.xlsx' spreadsheet, in the 'Enumeration Types' tab.

This field is not required for aggregate records.",1,Conditional per Validation Rule,N/A,,,string,"D1, D2",File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,ActionDate,,The date the action being reported was issued / signed by the Government or a binding agreement was reached.,25,2,20150131,22,,,,,,Dates should be in YYYYMMDD format.,8,Required,N/A,,,string,"D3, D4",File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,AssistanceType,,The type of assistance provided by the award.,16(D),3,4,25,,,,,,"Element value must be a valid enumeration. This is listed in the 'Domain_Values.xlsx' spreadsheet, in the 'Enumeration Types' tab.",2,Required,N/A,,,string,D1,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,RecordType,,Code indicating whether an action is an individual transaction or aggregated.,35,4,1,26,,,,,,"Element value must be a valid enumeration. This is listed in the 'Domain_Values.xlsx' spreadsheet, in the 'Enumeration Types' tab.",1,Required,N/A,,,integer,D1,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,FAIN,,The Federal Award Identification Number (FAIN) is the unique ID within the Federal agency for each (non-aggregate) financial assistance award.,34(B),5,123456798,14,,,,,,"Once an agency assigns a FAIN and reports it to USAspending.gov, the Federal agency may not modify the FAIN during the life of the award. Further, once a Federal agency assigns a FAIN, that Federal agency must ensure that the FAIN is clearly identified in all Federal award documents. As a term and condition of the award, Federal agencies must require that all recipients document the assigned FAIN on each subaward under the Federal award. 

This field is not required for aggregate records.

This field is used to establish the linkage for Financial Assistance data. ",30,Conditional per Validation Rule,N/A,,,string,"C9, D2, D5, D6",File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,AwardModificationAmendmentNumber,,The identifier of an action being reported that indicates the specific subsequent change to the initial award.,23,6,6,15,,,,,,,25,Optional,N/A,,,string,D6,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,URI,,Unique Record Identifier. An agency defined identifier that (when provided) is unique for every reported action.,34(C),7,12-34-56-78-90-AS-DF-AB-XZ-YW,52,,,,,,"This is required only when the combination of FAIN and AwardModificationAmendmentNumber is not unique. Field must contain a unique value except when the Correction/Late Indicator contains the code â€œCâ€� or â€œDâ€�. 

This field is required for aggregate records. 

This field is used to establish the linkage for Financial Assistance data.",70,Conditional per Validation Rule,N/A,,,string,"C9, D6, D7",File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,BusinessTypes,,A collection of indicators of different types of recipients based on socio-economic status and organization / business areas.,37,29,ABX,10,,,,,,"Codes for up to three business types as assigned to the recipient on the SF-424
Transfer the code(s) from the '9. Type of Applicant' section of the SF 424. This will create a 1-3 position alphabetic code, depending on the number of applicant types provided on the form. These component letter codes are also provided in the 'Enumeration Types' tab of the 'Domain_Values.xlsx' spreadsheet, ",3,Required,Business Types,,,string,D1,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,CFDA_Number,,The number assigned to a Federal area of work in the Catalog of Federal Domestic Assistance (CFDA).,19,42,84.047,1,,,,,,Refer to CFDA Catalog (https://www.cfda.gov),7,Required,N/A,,,string,D13,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,CFDA_Title,,The title of the area of work under which the Federal award was funded in the Catalog of Federal Domestic Assistance (CFDA).,20,43,TRIO_Upward Bound,34,,,,,,Derived Field (from CFDA_Number).,100,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,PrimaryPlaceOfPerformanceCode,,A numeric code indicating where the predominant performance of the award will be accomplished,30(H),44,00FORGN,29,,,,,,"00FORGN' indicates that the place of performance is in a foreign country. 
'00*****' indicates a multi-state project.  

Otherwise, the format follows one of four possibilities:
1. 'XX*****' for statewide projects, where XX represents the two letter USPS abbreviation for the State, territory, or the District of Columbia.
2. 'XX**###', for countywide projects, where XX represents the state abbreviation and ### the 3-digit county code found in the 'Domain_Values.xlsx' spreadsheet. All transactions reported on an aggregate basis are in the countywide format.
3. 'XX#####,' for projects that take place in a single ZIP code in a city, where ##### represents the city code found in the 'Domain_Values.xlsx' spreadsheet. 
4.  'XX#####,' for projects that take place in multiple ZIP codes within a city. In this case, ##### also represents the city code found in the 'Domain_Values.xlsx' spreadsheet, but PlaceOfPerfZIP+9 must also be reported as 'city-wide'.",7,Required,N/A,,,string,"D1, D14, D15",File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,PrimaryPlaceOfPerformanceCountryCode,,Country code where the predominant performance of the award will be accomplished.,32,45,USA,51,,,,,,,3,Required,N/A,,,string,D1,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,PrimaryPlaceOfPerformanceStateName,,The name of the state or territory where the predominant performance of the award will be accomplished,30(D)(i),46,North Carolina,30,,,,,,Derived Field (from PrimaryPlaceOfPerformanceCode),50,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,PrimaryPlaceOfPerformanceCountyName,,The name of the county where the predominant performance of the award will be accomplished,30(E),47,Forsyth,31,,,,,,Derived Field (from PrimaryPlaceOfPerformanceCode),40,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,PrimaryPlaceOfPerformanceCityName,,The name of the city where the predominant performance of the award will be accomplished,30(C),48,Winston-Salem,31,,,,,,Derived Field (from PrimaryPlaceOfPerformanceCode),100,Derived,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,PrimaryPlaceOfPerformanceZIP+4,,"United States ZIP code (five digits) concatenated with the additional +4 digits, identifying where the predominant performance of the award will be accomplished.",30(F)(ii),49,55401-5769,32,,,,,,"Number must be a valid USPS ZIP+4 code, except for city-wide awards, where this field takes the value 'city-wide.'

This field is not required for aggregate records.
",10,Conditional per Validation Rule,N/A,,,string,"D2, D16",File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,PrimaryPlaceOfPerformanceCongressionalDistrict,,U.S. Congressional district where the predominant performance of the award will be accomplished.,31,51,5,33,,,,,,Derived field (from PrimaryPlaceOfPerformanceZIP+4).,2,Conditional per Validation Rule,N/A,,,string,,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,AwardDescription,,A brief description of the purpose of the award.,22,52,IPEDS WEB DATA COLLECTION,37,,,,,,,4000,Conditional per Validation Rule,N/A,,,string,D2,File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,PeriodOfPerformanceStartDate,,"The date on which, for the award referred to by the action being reported, awardee effort begins or the award is otherwise effective.",26,53,20150131,23,,,,,,Dates should be in YYYYMMDD format.,8,Optional,N/A,,,string,"D3, D18",File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,,PeriodOfPerformanceCurrentEndDate,,"The current date on which, for the award referred to by the action being reported, awardee effort completes or the award is otherwise ended. Administrative actions related to this award may continue to occur after this date. This date does not apply to procurement indefinite delivery vehicles under which definitive orders may be awarded.",27,54,20150131,24,,,,,,Dates should be in YYYYMMDD format.,8,Optional,N/A,,,string,"D3, D4, D19",File D2 - Award and Awardee Attributes (Financial Assistance),Award Characteristic Information
,procurement,NAICS,,The identifier that represents the North American Industrial Classification System Code (NAICS) assigned to the solicitation and resulting award identifying the industry in which the contract requirements are normally performed.,17,25,,,,,,NAICS from Prime Contract,,,6,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,procurement,NAICS_Description,,The title associated with the NAICS Code.,18,26,,,,,,None,,,150,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,"procurement, financial assistance",AwardDescription,,A brief description of the purpose of the award.,22,30,,,,,,"Description of the overall purpose and expected outcomes, OR results of the contract, including significant deliverables and, if appropriate,
associated units of measure OR
sub-award Project Description",,,4000,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,procurement,ParentAwardId,,The identifier of the procurement award under which the specific award is issued (such as a Federal Supply Schedule). Term currently applies to procurement actions only,24,41,,,,,,None,,,50,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,"procurement, financial assistance",ActionDate,,The date the action being reported was issued / signed by the Government or a binding agreement was reached.,25,31,,,,,,"Date of Sub-Contract OR
sub?award Obligation/Action Date",,,8,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,"procurement, financial assistance",PrimaryPlaceOfPerformanceCongressionalDistrict,,U.S. Congressional district where the predominant performance of the award will be accomplished.,31,36,,,,,,"Sub-contractor Principal Place of Performance_Congressional District OR
Sub-awardee Principal Place of
Performance_Congressional District",,,2,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
