File,DataElementLabel,Definition,Use,Grouping
File C - Award Financial,USSGL483100_UndeliveredOrdersObligationsTransferredUnpaid_CPE,"The amount of goods and/or services ordered and obligated in one Treasury Appropriation Fund Symbol (TAFS) and transferred to or from another TAFS, which have not been actually or constructively received and not prepaid or advanced at the time of transfer. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. Although the normal balance for this account is credit, it is acceptable for this account to have a debit balance. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL488100_UpwardAdjustmentsOfPriorYearUndeliveredOrdersObligationsUnpaid_CPE,"The amount of upward adjustments during the current fiscal year to obligations that were originally recorded in a prior fiscal year in USSGL account 480100,""Undelivered Orders - Obligations, Unpaid."" (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,ObligationsDeliveredOrdersUnpaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,ObligationsDeliveredOrdersUnpaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. 

A legally binding agreement that will result in outlays, immediately or in the future. 

",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL490100_DeliveredOrdersObligationsUnpaid_CPE,"The amount accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) This account does not close at year-end.  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL490100_DeliveredOrdersObligationsUnpaid_FYB,"The amount accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) This account does not close at year-end.  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL493100_DeliveredOrdersObligationsTransferredUnpaid_CPE,"The amount in USSGL account 490100, ""Delivered Orders - Obligations, Unpaid,"" transferred during the fiscal year to or from another Treasury Appropriation Fund Symbol. This includes amounts accrued or due for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. Although the normal balance for this account is credit, it is acceptable in certain instances for this account to have a debit balance. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.) ",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL498100_UpwardAdjustmentsOfPriorYearDeliveredOrdersObligationsUnpaid_CPE,"The amount of upward adjustments during the fiscal year to USSGL account 490100, ""Delivered Orders - Obligations, Unpaid,"" or USSGL account 490200, ""Delivered Orders - Obligations, Paid,"" that were originally recorded in a prior fiscal year. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,GrossOutlayAmountByAward_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,GrossOutlayAmountByAward_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,GrossOutlaysUndeliveredOrdersPrepaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,GrossOutlaysUndeliveredOrdersPrepaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL480200_UndeliveredOrdersObligationsPrepaidAdvanced_CPE,"The amount of goods and/or services ordered, which have not been actually or constructively received but have been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL480200_UndeliveredOrdersObligationsPrepaidAdvanced_FYB,"The amount of goods and/or services ordered, which have not been actually or constructively received but have been prepaid or advanced. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has occurred. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL483200_UndeliveredOrdersObligationsTransferredPrepaidAdvanced_CPE,"The amount of goods and/or services ordered and obligated in one Treasury Appropriation Fund Symbol (TAFS) and transferred to or from another TAFS, which have not been actually or constructively received but have been prepaid or advanced at the time of transfer. This includes amounts specified in other contracts or agreements such as grants, program subsidies, undisbursed loans and claims, and similar events for which an advance or prepayment has not occurred. Although the normal balance for this account is credit, it is acceptable for this account to have a debit balance.(Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL488200_UpwardAdjustmentsOfPriorYearUndeliveredOrdersObligationsPrepaidAdvanced_CPE,"The amount of upward adjustments during the current fiscal year to obligations that were originally recorded in a prior fiscal year in USSGL account 480200,""Undelivered Orders - Obligations, Prepaid/Advanced."" (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,GrossOutlaysDeliveredOrdersPaidTotal_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,GrossOutlaysDeliveredOrdersPaidTotal_FYB,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Payments made to liquidate an obligation (other than the repayment of debt principal or other disbursements that are “means of financing” transactions). Outlays generally are equal to cash disbursements but also are recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. Outlays are the measure of Government spending. 

",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL490200_DeliveredOrdersObligationsPaid_CPE,"The amount paid/outlayed for: (1) services performed by employees, contractors, vendors, carriers, grantees, lessors, and other government funds; (2) goods and tangible property received; and (3) programs for which no current service performance is required such as annuities, insurance claims, benefit payments, loans, etc. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL490800_AuthorityOutlayedNotYetDisbursed_CPE,"The amount of authority outlayed but not yet disbursed. Use only in specific circumstances, such as for interest on certain Bureau of the Fiscal Service securities. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL490800_AuthorityOutlayedNotYetDisbursed_FYB,"The amount of authority outlayed but not yet disbursed. Use only in specific circumstances, such as for interest on certain Bureau of the Fiscal Service securities. This account does not close at yearend. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Obligations Incurred Total by Award"
File C - Award Financial,USSGL498200_UpwardAdjustmentsOfPriorYearDeliveredOrdersObligationsPaid_CPE,"The amount of upward adjustments that were originally recorded in a prior fiscal year paid/outlayed during the fiscal year to USSGL account 490100, ""Delivered Orders - Obligations, Unpaid,"" or USSGL account 490200, ""Delivered Orders - Obligations, Paid."" (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Deobligations Recoveries Refunds"
File C - Award Financial,DeobligationsRecoveriesRefundsOfPriorYearByAward_CPE,"The amount of downward adjustments to obligations and outlays incurred resulting from deobligations, recoveries, or refunds collected, at the Award level. The adjustments are to the obligations and outlays which were made in a prior year.",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Deobligations Recoveries Refunds"
File C - Award Financial,USSGL487100_DownwardAdjustmentsOfPriorYearUnpaidUndeliveredOrdersObligationsRecoveries_CPE,"The amount of recoveries during the current fiscal year resulting from downward adjustments to obligations originally recorded in a prior fiscal year in USSGL account 480100, ""Undelivered Orders - Obligations, Unpaid."" (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Deobligations Recoveries Refunds"
File C - Award Financial,USSGL497100_DownwardAdjustmentsOfPriorYearUnpaidDeliveredOrdersObligationsRecoveries_CPE,"The amount of recoveries that were originally recorded in a prior fiscal year during the fiscal year resulting from downward adjustments to USSGL account 490100, ""Delivered Orders - Obligations, Unpaid."" (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Deobligations Recoveries Refunds"
File C - Award Financial,USSGL487200_DownwardAdjustmentsOfPriorYearPrepaidAdvancedUndeliveredOrdersObligationsRefundsCollected_CPE,"The amount of cash refunds during the current fiscal year resulting from downward adjustments to obligations that were originally recorded in a prior fiscal year in USSGL account 480200, ""Undelivered Orders - Obligations, Prepaid/Advanced.""  (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Deobligations Recoveries Refunds"
File C - Award Financial,USSGL497200_DownwardAdjustmentsOfPriorYearPaidDeliveredOrdersObligationsRefundsCollected_CPE,"The amount of cash refunds during the fiscal year resulting from downward adjustments to USSGL account 490200, ""Delivered Orders - Obligations, Paid,"" that were originally recorded in a prior fiscal year. (Per USSGL TFM Part 2, Section II, Accounts and Definitions.)",Optional,"Award Balances (by TAS-Program Activity-
Object Class-award-Direct Reimbursable): Deobligations Recoveries Refunds"
File D1 - Award and Awardee Attributes (Procurement),PIID,The unique identifier of the specific award being reported.,Extracted,Contract Identification Information
File D1 - Award and Awardee Attributes (Procurement),AwardModificationAmendmentNumber,The identifier of an action being reported that indicates the specific subsequent change to the initial award.,Extracted,Contract Identification Information
File D1 - Award and Awardee Attributes (Procurement),Transaction Number,"Tie Breaker for legal, unique transactions that would otherwise have the same key.",Extracted,Contract Identification Information
File D1 - Award and Awardee Attributes (Procurement),Referenced IDV Agency Identifier,"Identifier used to link agency in FPDS-NG to referenced IDV information. Definition (if more than one field): The identifier of the procurement award under which the specific award is issued, such as a Federal Supply Schedule. This data element currently applies to procurement actions only.",Extracted,Contract Identification Information
File D1 - Award and Awardee Attributes (Procurement),Referenced IDV Agency Name,Name of the agency associated  with the code iin the Referenced IDV Agency Identifier.,Extracted,Contract Identification Information
File D1 - Award and Awardee Attributes (Procurement),ParentAwardId,The identifier of the procurement award under which the specific award is issued (such as a Federal Supply Schedule). Term currently applies to procurement actions only,Extracted,Contract Identification Information
File D1 - Award and Awardee Attributes (Procurement),Referenced IDV Modification Number,"When reporting orders under Indefinite Delivery Vehicles (IDV) such as a GWAC, IDC, FSS, BOA, or BPA, report the Modification Number along with Procurement Instrument Identifier (Contract Number or Agreement Number) of the IDV. For the initial load of a BPA under a FSS, this is the FSS contract number. Note: BOAs and BPAs are with industry and not with other Federal Agencies",Extracted,Contract Identification Information
File D1 - Award and Awardee Attributes (Procurement),FederalActionObligation,"Amount of Federal government’s obligation, de-obligation, or liability for an award transaction.",Extracted,Obligation and Contract Dollar Values
File D1 - Award and Awardee Attributes (Procurement),TotalDollarsObligated,"This is a system generated element providing the sum of all the amounts entered in the ""Action Obligation"" field for a particular PIID and Agency. Example: Contract has 9 Modifications under ""Transaction Number"" as '1' and 9 modifications with the same PIID under ""Transaction Number"" as '2'. The base contracts and all the modifications have ""Action Obligation"" as $10 each. The value for the field ""Total Obligated Amount"" when the either of the bases or the modification is retrieved through atom feeds will be $200 ($100 under Transaction Number 1 + $100 under Transaction Number 2). ""Total Obligated Amount"" is generated irrespective of the ""Transaction Number"" on the Awards.",Extracted,Obligation and Contract Dollar Values
File D1 - Award and Awardee Attributes (Procurement),BaseAndExercisedOptionsValue,"The change (from this transaction only) to the current contract value (i.e., the base contract and any options that have been exercised).",Extracted,Obligation and Contract Dollar Values
File D1 - Award and Awardee Attributes (Procurement),CurrentTotalValueOfAward,"Total amount obligated to date on a contract, including the base and exercised options.",Extracted,Obligation and Contract Dollar Values
File D1 - Award and Awardee Attributes (Procurement),BaseAndAllOptionsValue,"The change (from this transaction only) to the potential contract value (i.e., the base contract and any exercised or unexercised options).",Extracted,Obligation and Contract Dollar Values
File D1 - Award and Awardee Attributes (Procurement),PotentialTotalValueOfAward,"Total amount that could be obligated on a contract, if the base and all options are exercised.",Extracted,Obligation and Contract Dollar Values
File D1 - Award and Awardee Attributes (Procurement),ActionDate,The date the action being reported was issued / signed by the Government or a binding agreement was reached.,Extracted,Contract Dates
File D1 - Award and Awardee Attributes (Procurement),PeriodOfPerformanceStartDate,"The date on which, for the award referred to by the action being reported, awardee effort begins or the award is otherwise effective.",Extracted,Contract Dates
File D1 - Award and Awardee Attributes (Procurement),PeriodOfPerformanceCurrentEndDate,"The current date on which, for the award referred to by the action being reported, awardee effort completes or the award is otherwise ended. Administrative actions related to this award may continue to occur after this date. This date does not apply to procurement indefinite delivery vehicles under which definitive orders may be awarded.",Extracted,Contract Dates
File D1 - Award and Awardee Attributes (Procurement),PeriodOfPerformancePotentialEndDate,"For procurement, the date on which, for the award referred to by the action being reported if all potential pre-determined or pre-negotiated options were exercised, awardee effort is completed or the award is otherwise ended. Administrative actions related to this award may continue to occur after this date. This date does not apply to procurement indefinite delivery vehicles under which definitive orders may be awarded.",Extracted,Contract Dates
File D1 - Award and Awardee Attributes (Procurement),OrderingPeriodEndDate,"For procurement, the date on which, for the award referred to by the action being reported, no additional orders referring to it may be placed. This date applies only to procurement indefinite delivery vehicles (such as indefinite delivery contracts or blanket purchase agreements). Administrative actions related to this award may continue to occur after this date. The period of performance end dates for procurement orders issued under the indefinite delivery vehicle may extend beyond this date.",Extracted,Contract Dates
File D1 - Award and Awardee Attributes (Procurement),AwardingAgencyCode,A department or establishment of the Government as used in the Treasury Account Fund Symbol (TAFS).,Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),AwardingAgencyName,The name associated with a department or establishment of the Government as used in the Treasury Account Fund Symbol (TAFS).,Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),AwardingSubTierAgencyCode,"Identifier of the level 2 organization that awarded, executed or is otherwise responsible for the transaction.",Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),AwardingSubTierAgencyName,"Name of the level 2 organization that awarded, executed or is otherwise responsible for the transaction.",Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),AwardingOfficeCode,"Identifier of the level n organization that awarded, executed or is otherwise responsible for the transaction.",Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),AwardingOfficeName,"Name of the level n organization that awarded, executed or is otherwise responsible for the transaction.",Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),FundingAgencyCode,The 3-digit CGAC agency code of the department or establishment of the Government that provided the preponderance of the funds for an award and/or individual transactions related to an award.,Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),FundingAgencyName,Name of the department or establishment of the Government that provided the preponderance of the funds for an award and/or individual transactions related to an award.,Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),FundingSubTierAgencyCode,Identifier of the level 2 organization that provided the preponderance of the funds obligated by this transaction.,Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),FundingSubTierAgencyName,Name of the level 2 organization that provided the preponderance of the funds obligated by this transaction.,Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),FundingOfficeCode,Identifier of the level n organization that provided the preponderance of the funds obligated by this transaction.,Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),FundingOfficeName,Name of the level n organization that provided the preponderance of the funds obligated by this transaction.,Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),Foreign Funding,"Indicates that a foreign government, international organization, or foreign military organization bears some of the cost of the acquisition",Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),Foreign Funding Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Foreign Funding Field,Extracted,Awarding/Funding Agency
File D1 - Award and Awardee Attributes (Procurement),SAM Exception,The reason a vendor/contractor not registered in the mandated SAM system may be used in a purchase. ,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),SAM Exception Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the SAM Exception Field,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),AwardeeOrRecipientUniqueIdentifier,The unique identification number for an awardee or recipient. Currently the identifier is the 9-digit number assigned by Dun and Bradstreet (D&B) referred to as the DUNS® number.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),AwardeeOrRecipientLegalEntityName,"The name of the awardee or recipient that relates to the unique identifier. For U.S. based companies, this name is what the business ordinarily files in formation documents with individual states (when required).",Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),Vendor Doing As Business Name,The doing as business name of the contractor address.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),CAGE Code,The CAGE Code of the contractor. Used as a key to SAM. Maps to the DUNS.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),UltimateParentUniqueIdentifier,The unique identification number for the ultimate parent of an awardee or recipient. Currently the identifier is the 9-digit number maintained by Dun & Bradstreet as the global parent DUNS® number.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),UltimateParentLegalEntityName,The name of the ultimate parent of the awardee or recipient. Currently the name is from the global parent DUNS® number.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),LegalEntityCountryCode,"Code for the country in which the awardee or recipient is located, using the International Standard for country codes (ISO) 3166-1 Alpha-3 GENC Profile, minus the codes listed for those territories and possessions of the United States already identified as “states.”",Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),LegalEntityCountryName,The name corresponding to the country code.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),LegalEntityAddressLine1,First line of the awardee or recipient’s legal business address where the office represented by the Unique Entity Identifier (as registered in the System for Award Management) is located.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),LegalEntityAddressLine2,Second line of awardee or recipient’s legal business address.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),LegalEntityCityName,Name of the city in which the awardee or recipient’s legal business address is located.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),LegalEntityStateCode,"United States Postal Service (USPS) two-letter abbreviation for the state or territory in which the awardee or recipient’s legal business address is located. Identify States, the District of Columbia, territories (i.e., American Samoa, Guam, Northern Mariana Islands, Puerto Rico, U.S. Virgin Islands) and associated states (i.e., Republic of the Marshall Islands, the Federated States of Micronesia, and Palau) by their USPS two-letter abbreviation for the purposes of reporting.",Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),LegalEntityStateCodeDescriptionTag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the LegalEntityStateCode Field,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),LegalEntityStateDescription,"The name, abbreviation or other address label for the state, territory, non-domestic state or province in which the award recipient's legal business address is located.",Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),LegalEntityZIP+4,USPS zoning code associated with the awardee or recipient’s legal business address. This is not a required data element for non-US addresses.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),LegalEntityCongressionalDistrict,The congressional district in which the awardee or recipient is located. This is not a required data element for non-U.S. addresses.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),Vendor Phone Number,The phone number of the contractor.,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),Vendor Fax Number,The fax number of the contractor,Extracted,Vendor (DUNS and Address Information)
File D1 - Award and Awardee Attributes (Procurement),PrimaryPlaceOfPerformanceCityName,The name of the city where the predominant performance of the award will be accomplished,Extracted,Place of Performance
File D1 - Award and Awardee Attributes (Procurement),PrimaryPlaceOfPerformanceCountyName,The name of the county where the predominant performance of the award will be accomplished.,Extracted,Place of Performance
File D1 - Award and Awardee Attributes (Procurement),PrimaryPlaceOfPerformanceStateCode,"United States Postal Service (USPS) two-letter abbreviation for the state or territory indicating where the predominant performance of the award will be accomplished. Identify States, the District of Columbia, territories (i.e., American Samoa, Guam, Northern Mariana Islands, Puerto Rico, U.S. Virgin Islands) and associated states (i.e., Republic of the Marshall Islands, the Federated States of Micronesia, and Palau) by their USPS two-letter abbreviation for the purposes of reporting.",Extracted,Place of Performance
File D1 - Award and Awardee Attributes (Procurement),PrimaryPlaceOfPerformanceStateName,The name of the state or territory where the predominant performance of the award will be accomplished.,Extracted,Place of Performance
File D1 - Award and Awardee Attributes (Procurement),PrimaryPlaceOfPerformanceZIP+4,"United States ZIP code (five digits) concatenated with the additional +4 digits, identifying where the predominant performance of the award will be accomplished.",Extracted,Place of Performance
File D1 - Award and Awardee Attributes (Procurement),PrimaryPlaceOfPerformanceCongressionalDistrict,U.S. Congressional district where the predominant performance of the award will be accomplished.,Extracted,Place of Performance
File D1 - Award and Awardee Attributes (Procurement),PrimaryPlaceOfPerformanceCountryCode,Country code where the predominant performance of the award will be accomplished.,Extracted,Place of Performance
File D1 - Award and Awardee Attributes (Procurement),PrimaryPlaceOfPerformanceCountryName,Name of the country represented by the country code where the predominant performance of the award will be accomplished.,Extracted,Place of Performance
File D1 - Award and Awardee Attributes (Procurement),Award Or IDV Flag,Flag indicating whether the record was pulled from the award Atom feed or the IDV (Indefinite Delivery Vehicle) Atom Feed provided by FPDS.,Extracted,Key Contract Information
File D1 - Award and Awardee Attributes (Procurement),ContractAwardType,"The type of award being entered by this transaction. Types of awards include Purchase Orders (PO), Delivery Orders (DO), Blanket Purchase Agreements (BPA) Calls and Definitive Contracts.",Extracted,Key Contract Information
File D1 - Award and Awardee Attributes (Procurement),ContractAwardTypeDescriptionTag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the ContractAwardType  Field,Extracted,Key Contract Information
File D1 - Award and Awardee Attributes (Procurement),IDV_Type,"The type of Indefinite Delivery Vehicle being (IDV) loaded by this transaction. IDV Types include Government-Wide Acquisition Contract (GWAC), Multi-Agency Contract, Other Indefinite Delivery Contract (IDC), Federal Supply Schedule (FSS), Basic Ordering Agreement (BOA), and Blanket Purchase Agreements (BPA).",Extracted,Key Contract Information
File D1 - Award and Awardee Attributes (Procurement),IDV_Type Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the IDV_Type Field,Extracted,Key Contract Information
File D1 - Award and Awardee Attributes (Procurement),Multiple or Single Award IDV,"Indicates whether the contract is one of many that resulted from a single solicitation, all of the contracts are for the same or similar items, and contracting officers are 'True to compare their requirements with the offerings under more than one contract or are 'True to acquire the requirement competitively among the awardees. BPA ""Multiple or Single Award IDV"" value does not pull the ""Multiple or Single Award IDV"" value of the referenced FSS to the BPA. The ""Multiple or Single Award IDV"" value shall be 'True and selected by the user for all BPA bases created.",Extracted,Key Contract Information
File D1 - Award and Awardee Attributes (Procurement),Multiple or Single Award IDV Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Multiple or Single Award IDV Field,Extracted,Key Contract Information
